CHANNEL,PLATFORM,WEEK,VIEWS
KBS2,NAVER,2019-12-23,9887379
KBS2,NAVER,2020-01-06,8952048
KBS2,NAVER,2020-01-13,8646876
KBS2,NAVER,2020-01-20,8277267
KBS2,NAVER,2020-01-27,9742796
MBC,KAKAO,2019-12-30,2582233
MBC,KAKAO,2019-12-30,3707288
MBC,KAKAO,2019-11-04,2786379
MBC,KAKAO,2019-11-11,2899809
MBC,KAKAO,2019-11-18,2592595
MBC,KAKAO,2019-11-25,2897655
MBC,KAKAO,2019-12-02,1777069
MBC,KAKAO,2019-12-09,2193207
MBC,KAKAO,2019-12-16,2279636
MBC,KAKAO,2019-12-23,2453380
MBC,KAKAO,2020-01-06,4376811
MBC,KAKAO,2020-01-13,3338885
MBC,KAKAO,2020-01-20,2479594
MBC,KAKAO,2020-01-27,4324378
MBC,NAVER,2019-12-30,7734681
MBC,NAVER,2019-12-30,15165603
MBC,NAVER,2019-11-04,10474600
MBC,NAVER,2019-11-11,10461095
MBC,NAVER,2019-11-18,8062717
MBC,NAVER,2019-11-25,5676363
MBC,NAVER,2019-12-02,6272328
MBC,NAVER,2019-12-09,7116313
MBC,NAVER,2019-12-16,8169235
MBC,NAVER,2019-12-23,6840503
MBC,NAVER,2020-01-06,10945805
MBC,NAVER,2020-01-13,9723999
MBC,NAVER,2020-01-20,6922296
MBC,NAVER,2020-01-27,9161931
MBC,YOUTUBE,2019-12-30,4897163
MBC,YOUTUBE,2019-12-30,23361747
MBC,YOUTUBE,2019-12-16,3911515
MBC,YOUTUBE,2019-12-23,9769805
MBC,YOUTUBE,2020-01-06,37391864
MBC,YOUTUBE,2020-01-13,31922057
MBC,YOUTUBE,2020-01-20,25298471
MBC,YOUTUBE,2020-01-27,24243679
SBS,KAKAO,2019-12-30,835918
SBS,KAKAO,2019-12-30,4307647
SBS,KAKAO,2019-11-04,7134764
SBS,KAKAO,2019-11-11,6614120
SBS,KAKAO,2019-11-18,4141994
SBS,KAKAO,2019-11-25,3823258
SBS,KAKAO,2019-12-02,6490446
SBS,KAKAO,2019-12-09,5702061
SBS,KAKAO,2019-12-16,7086374
SBS,KAKAO,2019-12-23,6228482
SBS,KAKAO,2020-01-06,6997884
SBS,KAKAO,2020-01-13,5167899
SBS,KAKAO,2020-01-20,4457784
SBS,KAKAO,2020-01-27,7237314
SBS,YOUTUBE,2019-12-30,2906864
SBS,YOUTUBE,2019-12-30,11889400
SBS,YOUTUBE,2019-12-16,1797064
SBS,YOUTUBE,2019-12-23,9778437
SBS,YOUTUBE,2020-01-06,21040069
SBS,YOUTUBE,2020-01-13,15234817
SBS,YOUTUBE,2020-01-20,14529874
SBS,YOUTUBE,2020-01-27,17694020
SBS,NAVER,2019-12-30,2334404
