WEEK,CLIP,CH,PROGRAM,KAKAO,NAVER,YOUTUBE
2020-02-17,[2월 18일 예고] 떠나는 안효섭을 막아서는 이성경?!,SBS,낭만닥터 김사부 2,27315,155841,119122
2020-02-17,"‘초깜찍 모델’ 라니, 찍는 족족 레전드 갱신!",SBS,동상이몽2_너는 내 운명,137861,100405,
2020-02-17,[선공개] 똑닮 모녀 라니♥윤지의 화보 촬영!,SBS,동상이몽2_너는 내 운명,15462,90650,327283
2020-02-17,"[최종화 예고] 현빈, 손예진 남긴 채 북한으로 돌아가나?",tvN,사랑의불시착,16593,216739,26500
2020-02-17,※5중대 구조작전※ 전국환은 계획이 다 있구나야~,tvN,사랑의불시착,54050,120426,126755
2020-02-17,"이성경, 안효섭 위해 형님들에게 도움 요청! (ft.신동욱 출전)",SBS,낭만닥터 김사부 2,87884,221154,
2020-02-17,[오분순삭] 상금 줄게 기부금 다오 ??지옥에서 온 지갑 지킴이?? 명수는 거짓말은 안해..ψ(._. )＞ | 무한도전?오분순삭,MBC,오분순삭,1,136,422754
2020-02-17,[♡단밤즈캠♡] 단밤즈가 클럽을 즐기는 ★클라쓰★,JTBC,이태원 클라쓰,6281,50430,277161
2020-02-17,"“나 쪽팔리게 하지 마” 이성경, 드디어 깨달은 삶의 확신!",SBS,낭만닥터 김사부 2,1993,16221,345452
2020-02-17,"[폭소 주의] “민망함은 함께해요~” 박하나, 온몸 던진 3행시☆",SBS,런닝맨,85,763,406003
2020-02-17,남진앓이 ♥_♥ 정동원의 레전드 앞 노래 첫 선 (돌변),TV CHOSUN,미스터트롯,152293,132858,
2020-02-17,"“10분이야” 박시은, ‘게임 열중’ 진태현에 냉정한 경고",SBS,동상이몽2_너는 내 운명,708,4116,395468
2020-02-17,대륙 마마를 사로잡은 ‘임영웅’ ♨파파 질투 활활♨,TV CHOSUN,아내의 맛,3597,8817,339152
2020-02-17,[추억의 명곡] 레전드 걸그룹 씨야의 히트곡 메들리♪,JTBC,투유 프로젝트 - 슈가맨3,50229,343270,
2020-02-17,"‘화보 여신’ 이윤지, 새삼 다른(?) 입금 전 VS 입금 후!",SBS,동상이몽2_너는 내 운명,119839,60594,
2020-02-17,기부금 미션 ?가장 빛난 트롯맨? 眞 임.영.웅,TV CHOSUN,미스터트롯,142948,150744,
2020-02-17,′복수를 해야겠어′ 사랑의 아픔 딛고 복수하려는 서지혜♨?,tvN,사랑의불시착,68191,232655,50502
2020-02-17,＂언젠간 찾을 거예요＂ 현빈 만나기 위한 손예진의 간절한 기다림,tvN,사랑의불시착,50451,164741,10466
2020-02-17,국민 보건 수호는 공공의료기관의 책무,KBS 1,다큐멘터리 3일,22,411,380978
2020-02-17,"한석규, 불법 시술 병원 소개하는 박종환에 분노!",SBS,낭만닥터 김사부 2,64425,199827,
2020-02-17,"‘귀요미들’ 안효섭×이성경, 꽁냥 케미 발산♥ (ft. 갑·분 사극)",SBS,낭만닥터 김사부 2,34489,175076,
2020-02-17,맥락 없는 현대 지성인의 영어에 말문이 막힌 헨리,MBC,＊_MBC_예능,15,,
2020-02-17,맥락 없는 현대 지성인의 영어에 말문이 막힌 헨리,MBC,나 혼자 산다,273437,60006,
2020-02-17,[달달♡] “그러니까 가지 마” 동맹 안효섭 붙잡는 이성경!,SBS,낭만닥터 김사부 2,39922,209736,
2020-02-17,"K.K, 이름값 제대로 삼진 두 개를 기록하는 김광현",MBC PLUS,김광현 (세인트루이스 카디널스),100415,255968,
2020-02-17,[메이킹] 청춘! 패기! 개성 만렙 배우들의 이태원 클라쓰 대본리딩 현장!!,JTBC,이태원 클라쓰,265,2801,351359
2020-02-17,"[힌트요정 엔딩] “꼽냐? 꼬우면 포기하든가” 한석규, 안효섭을 향해 힌트 세례",SBS,낭만닥터 김사부 2,71159,174635,
2020-02-17,"찌개백반집 사장, 백종원 혹평에 한없이 속상한 마음",SBS,백종원의 골목식당,133108,106089,
2020-02-17,MC주지 목탁 비트로 양민학살 ㄷㄷ,XtvN,플레이어2,59,1982,347721
2020-02-17,‘김사부님?! 어떻게 해요?’ 꺼져가는 김홍파의 생명 앞에 돌담 병원 멘붕!,SBS,낭만닥터 김사부 2,57202,160663,
2020-02-17,박서준-김다미의 화끈한 첫 만남 ＂뭐 저런 게 다 있어♨＂,JTBC,이태원 클라쓰,1098,12522,323519
2020-02-17,"[7회 예고] 싸움은 선빵이 중요해, 그리고 선빵은 뒤통수에!",JTBC,이태원 클라쓰,11604,91594,69998
2020-02-17,"[눈물 엔딩] “감사했습니다” 안효섭, 한석규에 작별 인사",SBS,낭만닥터 김사부 2,32431,156376,
2020-02-17,"이윤지·정한울, 딸 라니 심리 분석 결과에 초조한 마음",SBS,동상이몽2_너는 내 운명,1003,7466,296973
2020-02-17,모두에게 공평하지만 너무 다른 그와 나의 시간 #박서준_입덕♥,JTBC,이태원 클라쓰,832,9194,319217
2020-02-17,"아 She...영어를 모국어처럼 하는 장도연의 토익점수는?
",MBC,나 혼자 산다,2490,14283,308937
2020-02-17,[최종화 예고] 기다리기라도 해야 살 수 있으니까.. 현빈x손예진 결말은...,tvN,사랑의불시착,15712,121351,28483
2020-02-17,"김민재♥소주연,  드디어 마주 잡은 손 (ft. 밀당 넘어간 사람 나야 나♬)",SBS,낭만닥터 김사부 2,21351,156818,
2020-02-17,『6명 최종 탈락』 이별.. 마지막 인사.. “자주 보자”,TV CHOSUN,미스터트롯,112175,133297,
2020-02-17,"이성경, 돈 때문에 떠난다는 안효섭 의심!",SBS,낭만닥터 김사부 2,23520,178849,
2020-02-17,"야채곱창집 사장, 백종원 돌발 행동에 ‘곱창 둥절’",SBS,백종원의 골목식당,175502,51730,
2020-02-17,씨야가 해체를 선택해야 할 수밖에 없었던 이유…,JTBC,투유 프로젝트 - 슈가맨3,58302,260799,
2020-02-17,"“의사가 그러면 안 되지” 한석규, 김주헌에 뼈 때리는 일침",SBS,낭만닥터 김사부 2,29951,162120,
2020-02-17,"[에필로그] ‘외로운 히어로’ 임원희, 눈보다 빠른 손놀림!",SBS,낭만닥터 김사부 2,43165,141312,
2020-02-17,"송지효, 이광수·전소민 몰아가기에 폭풍 당황! (ft. 엄복동)",SBS,런닝맨,187,1830,308036
2020-02-17,이찬원 ‘울긴 왜 울어’♪ ?찬또열차 쾌속 질주?,TV CHOSUN,미스터트롯,10126,105200,187822
2020-02-17,덩실덩실 잔치다 잔치~! 청국장 보이스 이찬원 ‘진또배기’♬,TV CHOSUN,미스터트롯,5115,45373,253100
2020-02-17,반전의 반전◆ 정동원 ‘청춘’ + 패밀리가 떴다‘ 고장난 벽시계’♪,TV CHOSUN,미스터트롯,26325,101737,71906
2020-02-17,16명의 탈락 후보 ? 추가 합격자 발표?,TV CHOSUN,미스터트롯,80787,141341,
2020-02-17,"[엔딩] 얼마나 됐다고, 김다미 없는 단밤은 상상도 안가…",JTBC,이태원 클라쓰,68629,201548,
2020-02-17,[스페셜] ※눈물 주의※ 레전드 걸그룹 씨야의 완전체 귀환 기념 히트곡 모음.zip,JTBC,투유 프로젝트 - 슈가맨3,25616,264744,
2020-02-17,패밀리가 떴다 ‘젊은 그대’♪ 거의 뮤지컬 #소름 #전율,TV CHOSUN,미스터트롯,16942,93098,61239
2020-02-17,＂쟤...우리 봐＂ 딸 서우가 귀신을  본다는 사실에 패닉한 김태희!,tvN,하이바이마마,156916,117740,
2020-02-17,[오분순삭]그대는 썬샤인~??나만의 햇살~♥햇님재석과 달님형돈의 달콤살벌캐미~?? | 무한도전?오분순삭,MBC,오분순삭,2,3239,286572
2020-02-17,김태희를 발견한 이규형!? 존재감 제로 귀신→인간으로 돌아온 김태희!ㄷㄷ,tvN,하이바이마마,90191,182251,
2020-02-17,"[엠스플 in 캠프] 많이 기다리셨죠? 류현진, 시즌 첫 라이브 피칭",MBC PLUS,류현진 (토론토 블루제이스),75382,127666,77343
