WEEK,DAYS,TIME,PUT
2020-01-27,화요일,17,7.6 
2020-01-27,화요일,18,10.5 
2020-01-27,화요일,19,14.7 
2020-01-27,화요일,20,17.4 
2020-01-27,화요일,21,20.1 
2020-01-27,화요일,22,22.0 
2020-01-27,화요일,23,18.1 
2020-01-27,수요일,17,7.1 
2020-01-27,수요일,18,10.0 
2020-01-27,수요일,19,13.2 
2020-01-27,수요일,20,15.8 
2020-01-27,수요일,21,18.1 
2020-01-27,수요일,22,18.0 
2020-01-27,수요일,23,15.9 
2020-01-27,목요일,17,7.5 
2020-01-27,목요일,18,9.2 
2020-01-27,목요일,19,12.4 
2020-01-27,목요일,20,18.0 
2020-01-27,목요일,21,19.6 
2020-01-27,목요일,22,22.0 
2020-01-27,목요일,23,20.3 
2020-01-27,금요일,17,10.0 
2020-01-27,금요일,18,11.7 
2020-01-27,금요일,19,14.5 
2020-01-27,금요일,20,18.0 
2020-01-27,금요일,21,20.9 
2020-01-27,금요일,22,22.5 
2020-01-27,금요일,23,21.2 
2020-01-27,토요일,17,14.9 
2020-01-27,토요일,18,16.9 
2020-01-27,토요일,19,20.4 
2020-01-27,토요일,20,23.6 
2020-01-27,토요일,21,24.5 
2020-01-27,토요일,22,25.5 
2020-01-27,토요일,23,22.6 
2020-01-27,일요일,17,19.0 
2020-01-27,일요일,18,20.8 
2020-01-27,일요일,19,24.4 
2020-01-27,일요일,20,26.5 
2020-01-27,일요일,21,29.4 
2020-01-27,일요일,22,28.2 
2020-01-27,일요일,23,21.2 
2020-02-03,월요일,17,9.6 
2020-02-03,월요일,18,12.6 
2020-02-03,월요일,19,16.5 
2020-02-03,월요일,20,19.4 
2020-02-03,월요일,21,20.8 
2020-02-03,월요일,22,19.9 
2020-02-03,월요일,23,16.4 
2020-02-03,화요일,17,9.3 
2020-02-03,화요일,18,11.2 
2020-02-03,화요일,19,14.9 
2020-02-03,화요일,20,18.8 
2020-02-03,화요일,21,20.5 
2020-02-03,화요일,22,21.3 
2020-02-03,화요일,23,17.8 
2020-02-03,수요일,17,8.9 
2020-02-03,수요일,18,11.4 
2020-02-03,수요일,19,16.0 
2020-02-03,수요일,20,18.7 
2020-02-03,수요일,21,19.9 
2020-02-03,수요일,22,18.7 
2020-02-03,수요일,23,16.6 
2020-02-03,목요일,17,7.9 
2020-02-03,목요일,18,9.9 
2020-02-03,목요일,19,14.1 
2020-02-03,목요일,20,18.0 
2020-02-03,목요일,21,20.5 
2020-02-03,목요일,22,23.7 
2020-02-03,목요일,23,20.5 
2020-02-03,금요일,17,8.0 
2020-02-03,금요일,18,11.2 
2020-02-03,금요일,19,15.4 
2020-02-03,금요일,20,19.0 
2020-02-03,금요일,21,20.5 
2020-02-03,금요일,22,21.4 
2020-02-03,금요일,23,21.4 
2020-02-03,토요일,17,15.7 
2020-02-03,토요일,18,18.4 
2020-02-03,토요일,19,20.3 
2020-02-03,토요일,20,24.1 
2020-02-03,토요일,21,26.1 
2020-02-03,토요일,22,27.0 
2020-02-03,토요일,23,23.7 
2020-02-03,일요일,17,18.0 
2020-02-03,일요일,18,19.8 
2020-02-03,일요일,19,21.7 
2020-02-03,일요일,20,25.0 
2020-02-03,일요일,21,28.3 
2020-02-03,일요일,22,28.6 
2020-02-03,일요일,23,21.3 
2020-02-10,월요일,17,8.1 
2020-02-10,월요일,18,10.5 
2020-02-10,월요일,19,14.5 
2020-02-10,월요일,20,19.0 
2020-02-10,월요일,21,21.2 
2020-02-10,월요일,22,20.8 
2020-02-10,월요일,23,16.4 
2020-02-10,화요일,17,7.3 
2020-02-10,화요일,18,10.4 
2020-02-10,화요일,19,15.7 
2020-02-10,화요일,20,19.7 
2020-02-10,화요일,21,21.0 
2020-02-10,화요일,22,21.3 
2020-02-10,화요일,23,17.2 
2020-02-10,수요일,17,9.2 
2020-02-10,수요일,18,10.9 
2020-02-10,수요일,19,15.7 
2020-02-10,수요일,20,19.2 
2020-02-10,수요일,21,20.4 
