CHANNEL,PLATFORM,MONTH,VIEWS
CJ MUSICAL,NAVER,2019-12-01,1301
DIA TV,KAKAO,2019-01-01,329
DIA TV,KAKAO,2019-02-01,401
DIA TV,KAKAO,2019-03-01,357
DIA TV,KAKAO,2019-04-01,263
DIA TV,KAKAO,2019-05-01,360
DIA TV,KAKAO,2019-06-01,200
DIA TV,KAKAO,2019-07-01,407
DIA TV,KAKAO,2019-08-01,481
DIA TV,KAKAO,2019-09-01,308
DIA TV,KAKAO,2019-10-01,218
DIA TV,KAKAO,2019-11-01,106
DIA TV,KAKAO,2019-12-01,190
DIA TV,NAVER,2019-01-01,5943
DIA TV,NAVER,2019-02-01,4479
DIA TV,NAVER,2019-03-01,3705
DIA TV,NAVER,2019-04-01,3014
DIA TV,NAVER,2019-05-01,1826
DIA TV,NAVER,2019-06-01,1385
DIA TV,NAVER,2019-07-01,1300
DIA TV,NAVER,2019-08-01,1465
DIA TV,NAVER,2019-09-01,1100
DIA TV,NAVER,2019-10-01,1048
DIA TV,NAVER,2019-11-01,806
DIA TV,NAVER,2019-12-01,795
eNEWS,KAKAO,2019-01-01,853572
eNEWS,KAKAO,2019-02-01,526862
eNEWS,KAKAO,2019-03-01,933271
eNEWS,KAKAO,2019-04-01,1056046
eNEWS,KAKAO,2019-05-01,1414809
eNEWS,KAKAO,2019-06-01,494610
eNEWS,KAKAO,2019-07-01,886211
eNEWS,KAKAO,2019-08-01,364414
eNEWS,KAKAO,2019-09-01,239538
eNEWS,KAKAO,2019-10-01,641336
eNEWS,KAKAO,2019-11-01,408319
eNEWS,KAKAO,2019-12-01,326701
eNEWS,NAVER,2019-01-01,1248065
eNEWS,NAVER,2019-02-01,706490
eNEWS,NAVER,2019-03-01,1130298
eNEWS,NAVER,2019-04-01,641250
eNEWS,NAVER,2019-05-01,318954
eNEWS,NAVER,2019-06-01,358590
eNEWS,NAVER,2019-07-01,568817
eNEWS,NAVER,2019-08-01,799941
eNEWS,NAVER,2019-09-01,301952
eNEWS,NAVER,2019-10-01,295515
eNEWS,NAVER,2019-11-01,334728
eNEWS,NAVER,2019-12-01,245518
eNEWS,YOUTUBE,2019-12-01,19076
English Gem,KAKAO,2019-01-01,28
English Gem,KAKAO,2019-02-01,14
English Gem,KAKAO,2019-03-01,74
English Gem,KAKAO,2019-04-01,20
English Gem,KAKAO,2019-05-01,5
English Gem,KAKAO,2019-06-01,866
English Gem,KAKAO,2019-07-01,1225
English Gem,KAKAO,2019-08-01,75
English Gem,KAKAO,2019-09-01,46
English Gem,KAKAO,2019-10-01,39
English Gem,KAKAO,2019-11-01,90
English Gem,KAKAO,2019-12-01,39
English Gem,NAVER,2019-01-01,4501
English Gem,NAVER,2019-02-01,4779
English Gem,NAVER,2019-03-01,2235
English Gem,NAVER,2019-04-01,2902
English Gem,NAVER,2019-05-01,2796
English Gem,NAVER,2019-06-01,775
English Gem,NAVER,2019-07-01,420
English Gem,NAVER,2019-08-01,195
English Gem,NAVER,2019-09-01,291
English Gem,NAVER,2019-10-01,279
English Gem,NAVER,2019-11-01,227
English Gem,NAVER,2019-12-01,215
iMBC,KAKAO,2019-01-01,2135
iMBC,KAKAO,2019-02-01,2878
iMBC,KAKAO,2019-03-01,2492
iMBC,KAKAO,2019-04-01,2399
iMBC,KAKAO,2019-05-01,36741
iMBC,KAKAO,2019-06-01,3646
iMBC,KAKAO,2019-07-01,3338
iMBC,KAKAO,2019-08-01,3762
iMBC,KAKAO,2019-09-01,2832
iMBC,KAKAO,2019-10-01,2019
iMBC,KAKAO,2019-11-01,1861
iMBC,KAKAO,2019-12-01,2758
iMBC,NAVER,2019-01-01,353605
iMBC,NAVER,2019-02-01,133485
iMBC,NAVER,2019-03-01,294301
iMBC,NAVER,2019-04-01,41860
iMBC,NAVER,2019-05-01,136213
iMBC,NAVER,2019-06-01,22348
iMBC,NAVER,2019-07-01,62303
iMBC,NAVER,2019-08-01,31835
iMBC,NAVER,2019-09-01,60226
iMBC,NAVER,2019-10-01,2421853
iMBC,NAVER,2019-11-01,304488
iMBC,NAVER,2019-12-01,196535
iMBC Heyo,NAVER,2019-01-01,28
iMBC Heyo,NAVER,2019-02-01,15
iMBC Heyo,NAVER,2019-03-01,1
iMBC Heyo,NAVER,2019-04-01,2
iMBC Heyo,NAVER,2019-05-01,3
iMBC Heyo,NAVER,2019-06-01,3
iMBC Heyo,NAVER,2019-07-01,1
iMBC Heyo,NAVER,2019-11-01,1
JTBC,KAKAO,2019-01-01,36141191
JTBC,KAKAO,2019-02-01,12252218
JTBC,KAKAO,2019-03-01,12145590
JTBC,KAKAO,2019-04-01,9698174
JTBC,KAKAO,2019-05-01,8562671
JTBC,KAKAO,2019-06-01,14140747
JTBC,KAKAO,2019-07-01,15858430
JTBC,KAKAO,2019-08-01,15699020
JTBC,KAKAO,2019-09-01,13177658
JTBC,KAKAO,2019-10-01,9331185
JTBC,KAKAO,2019-11-01,10525171
JTBC,KAKAO,2019-12-01,7865905
JTBC,NAVER,2019-01-01,90368112
JTBC,NAVER,2019-02-01,44756591
JTBC,NAVER,2019-03-01,31808560
JTBC,NAVER,2019-04-01,25173092
JTBC,NAVER,2019-05-01,29649913
