WEEK_NUM,WEEK,PROGRAM,CH,KAKAO,NAVER,YOUTUBE
8,8주차(2020/02/17~2020/02/23),포레스트,KBS 2,85123,487449,14965
8,8주차(2020/02/17~2020/02/23),무엇이든 물어보살,KBS joy,210967,361739,
8,8주차(2020/02/17~2020/02/23),연말엔 tvN - 박나래 쇼,tvN,284,1162,564309
8,8주차(2020/02/17~2020/02/23),뮤직뱅크,KBS 2,19167,388079,112543
8,8주차(2020/02/17~2020/02/23),주간 예능연구소,MBC,16,183,498602
8,8주차(2020/02/17~2020/02/23),비디오스타,MBC PLUS,82798,114175,299236
8,8주차(2020/02/17~2020/02/23),본대로말하라,OCN,54097,398003,22452
8,8주차(2020/02/17~2020/02/23),2019 창사특집 다큐멘터리 휴머니멀,MBC,320,2271,468826
8,8주차(2020/02/17~2020/02/23),엠스플뉴스 스포츠,MBC PLUS,205467,101862,155547
8,8주차(2020/02/17~2020/02/23),한국프로야구 (KBO),MBC PLUS,121926,150492,182163
8,8주차(2020/02/17~2020/02/23),불후의 명곡2 전설을 노래하다,KBS 2,145281,153560,127818
8,8주차(2020/02/17~2020/02/23),트래블러 - 아르헨티나,JTBC,193352,229749,3557
8,8주차(2020/02/17~2020/02/23),개는 훌륭하다,KBS 2,40805,108060,273021
8,8주차(2020/02/17~2020/02/23),체험! 사람의 현장 ＜막나가쇼＞,JTBC,36751,42648,334108
8,8주차(2020/02/17~2020/02/23),77억의 사랑,JTBC,347652,36833,21909
8,8주차(2020/02/17~2020/02/23),유랑마켓,JTBC,355690,45578,4586
8,8주차(2020/02/17~2020/02/23),도시어부2: 대항해시대,채널A,251242,87983,46309
8,8주차(2020/02/17~2020/02/23),주간 아이돌,MBC PLUS,13618,118497,244011
8,8주차(2020/02/17~2020/02/23),수미네 반찬,tvN,215585,126022,29754
8,8주차(2020/02/17~2020/02/23),뭉쳐야 찬다,JTBC,57541,159607,139799
8,8주차(2020/02/17~2020/02/23),SBS KPOP PLAY,SBS,281,22353,330119
8,8주차(2020/02/17~2020/02/23),배철수 잼(Jam),MBC,169097,150610,23449
8,8주차(2020/02/17~2020/02/23),더 로맨스,JTBC,179637,116620,46174
8,8주차(2020/02/17~2020/02/23),한끼줍쇼,JTBC,136850,116866,88242
8,8주차(2020/02/17~2020/02/23),이웃집 찰스,KBS 1,1054,4879,333543
8,8주차(2020/02/17~2020/02/23),유희열의 스케치북,KBS 2,3666,92855,237391
8,8주차(2020/02/17~2020/02/23),TMI NEWS,MNET,6506,81438,231376
8,8주차(2020/02/17~2020/02/23),언니네 쌀롱,MBC,158475,114054,42898
8,8주차(2020/02/17~2020/02/23),코미디빅리그,tvN,12576,46442,254646
8,8주차(2020/02/17~2020/02/23),안녕 드라큘라,JTBC,56747,220409,26557
8,8주차(2020/02/17~2020/02/23),김병만의 정글의 법칙,SBS,198846,54971,44334
8,8주차(2020/02/17~2020/02/23),드라마 스테이지 2020,tvN,545,10588,285991
8,8주차(2020/02/17~2020/02/23),내 안의 발라드,MNET,23292,37828,235816
8,8주차(2020/02/17~2020/02/23),나의 첫 사회생활,tvN,11575,100414,179415
8,8주차(2020/02/17~2020/02/23),eNEWS24,eNEWS,2261,40683,248364
8,8주차(2020/02/17~2020/02/23),보컬플레이: 캠퍼스 뮤직 올림피아드,채널A,320,4703,286031
